,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aswan,24.09,32.91,100.24,13,6,17.56,EG,1596996416
1,lishui,28.46,119.91,78.78,85,88,1.9,CN,1596996416
2,pisco,-13.7,-76.22,64.0,82,40,8.05,PE,1596996417
3,namatanai,-3.67,152.43,78.24,83,100,4.32,PG,1596996417
4,punta arenas,-53.15,-70.92,41.0,55,100,20.8,CL,1596996417
5,samandag,36.08,35.98,80.6,69,20,14.99,TR,1596996417
6,upington,-28.45,21.26,53.6,70,20,5.82,ZA,1596996417
7,ambon,-3.7,128.18,81.0,93,54,8.34,ID,1596996418
8,kapaa,22.08,-159.32,78.8,83,90,19.46,US,1596996397
9,kisangani,0.52,25.2,74.93,89,98,1.36,CD,1596996418
10,sumbawanga,-7.97,31.62,60.93,41,0,2.98,TZ,1596996418
11,okha,53.57,142.95,52.93,90,84,5.57,RU,1596996418
12,albany,42.6,-73.97,87.01,67,33,5.75,US,1596996416
13,naze,28.37,129.48,82.4,94,75,13.87,JP,1596996386
14,sehithwa,-20.47,22.72,69.62,23,0,4.9,BW,1596996419
15,puerto ayora,-0.74,-90.35,77.0,65,75,11.41,EC,1596996419
16,corn island,12.17,-83.04,83.79,80,100,22.75,NI,1596996419
17,gijon,43.54,-5.66,72.0,77,97,1.99,ES,1596996419
18,cape town,-33.93,18.42,60.01,82,75,11.41,ZA,1596996293
19,lebu,-37.62,-73.65,52.45,94,100,15.37,CL,1596996420
20,rikitea,-23.12,-134.97,70.25,79,56,28.03,PF,1596996420
21,ushuaia,-54.8,-68.3,39.2,60,75,24.16,AR,1596996141
22,saint-ambroise,48.55,-71.33,84.0,45,20,16.11,CA,1596996421
23,kirakira,-10.45,161.92,79.12,83,99,8.7,SB,1596996421
24,atuona,-9.8,-139.03,78.53,70,27,24.54,PF,1596996422
25,lake havasu city,34.48,-114.32,104.0,8,1,3.36,US,1596996422
26,sitka,57.05,-135.33,57.2,82,90,17.22,US,1596996423
27,ribeira grande,38.52,-28.7,77.0,65,20,17.22,PT,1596996424
28,bluff,-46.6,168.33,48.99,90,99,15.01,NZ,1596996424
29,tselinnoye,53.08,85.67,64.51,76,0,6.17,RU,1596996424
30,yellowknife,62.46,-114.35,66.2,52,75,23.04,CA,1596996356
31,nome,64.5,-165.41,44.6,93,90,3.58,US,1596996424
32,arraial do cabo,-22.97,-42.03,80.6,73,0,20.8,BR,1596996425
33,lorengau,-2.02,147.27,81.03,74,98,4.21,PG,1596996425
34,esperance,-33.87,121.9,51.8,87,90,24.16,AU,1596996351
35,bilma,18.69,12.92,96.44,33,23,13.35,NE,1596996425
36,manokwari,-0.87,134.08,79.45,75,84,3.58,ID,1596996425
37,nemuro,43.32,145.57,61.02,98,99,6.46,JP,1596996425
38,kavaratti,10.57,72.64,81.7,80,100,21.81,IN,1596996374
39,saint george,37.1,-113.58,93.0,10,0,1.74,US,1596996138
40,businga,3.33,20.88,72.21,87,100,1.88,CD,1596996426
41,kattivakkam,13.22,80.32,84.2,79,75,10.29,IN,1596996426
42,castro,-24.79,-50.01,72.03,44,0,5.91,BR,1596996426
